ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
58,307,6,79,14,1,0,73,18,6,5,15,2,53,0,0,0,81,75,3,3,2,86,Bad
74,169,5,78,26,0,0,96,76,6,6,27,2,37,0,1,1,37,91,5,4,0,75,Bad
74,378,7,110,41,0,0,98,35,6,6,42,4,57,0,0,0,44,76,4,5,2,69,Good
67,299,2,79,25,0,0,89,15,5,6,27,3,37,0,12,11,63,63,13,3,4,94,Bad
56,76,6,32,11,2,2,92,15,5,2,14,5,17,0,3,3,83,42,5,2,2,100,Good
80,233,3,106,28,0,0,97,2,4,6,30,4,37,2,3,3,4,98,4,2,0,86,Good
70,252,3,73,20,4,2,88,31,6,3,24,4,67,2,1,1,16,93,3,2,0,63,Bad
57,246,4,72,34,2,1,88,3,1,3,40,4,73,2,3,3,12,70,3,12,0,89,Bad
61,190,7,118,34,0,0,82,22,5,6,34,1,50,19,0,0,97,78,6,4,4,100,Bad
64,178,8,108,33,0,0,85,1,4,6,33,2,36,0,4,4,48,78,5,3,3,62,Bad
71,179,4,68,32,1,1,97,50,6,3,33,5,21,1,5,5,43,45,12,4,3,76,Bad
65,256,40,190,23,1,1,85,5,4,4,27,0,52,5,0,0,75,27,4,3,1,88,Good
50,222,20,99,24,2,1,81,1,4,5,26,0,38,3,1,1,42,67,6,3,2,69,Bad
70,218,3,69,24,1,1,88,36,5,2,33,3,62,0,5,5,69,83,8,4,1,100,Good
55,156,5,65,59,1,1,98,2,4,6,59,5,36,1,12,11,44,91,7,5,1,92,Bad
65,129,10,64,30,0,0,78,2,4,6,32,3,34,0,1,1,17,99,2,10,0,67,Good
65,321,3,74,27,2,1,68,21,6,4,31,5,45,0,4,4,11,91,1,4,0,56,Good
65,338,7,55,24,0,0,83,9,4,6,24,2,33,0,2,2,13,78,2,2,0,31,Good
67,145,3,58,31,1,1,94,11,4,2,32,4,56,3,2,2,18,62,5,6,1,79,Good
62,135,8,59,15,2,2,81,4,4,6,16,1,81,0,11,10,13,59,2,4,0,100,Bad
69,175,6,56,17,2,1,90,11,4,5,20,3,55,1,1,1,16,92,3,8,0,73,Good
57,140,13,67,8,4,4,80,26,6,4,10,0,50,3,1,1,93,71,1,2,1,100,Bad
66,307,6,125,38,3,1,79,24,6,2,49,2,48,4,1,1,45,75,8,3,4,65,Bad
66,502,4,145,34,0,0,97,36,6,6,37,4,27,4,3,3,80,53,17,3,12,83,Bad
64,277,6,94,26,0,0,71,3,4,6,28,1,54,5,0,0,52,77,5,4,1,82,Bad
61,338,2,145,32,0,0,88,4,4,6,33,1,27,12,0,0,56,85,15,2,6,78,Bad
78,340,8,106,25,0,0,96,7,4,6,25,1,56,4,1,1,6,77,2,3,0,56,Bad
70,139,5,67,19,1,0,83,19,6,5,23,2,57,5,0,0,39,66,2,3,0,100,Good
62,295,7,124,55,0,0,95,8,4,6,57,2,39,5,0,0,32,48,6,4,2,57,Bad
67,85,16,48,17,1,0,89,20,6,5,18,0,61,4,1,1,44,77,1,2,0,75,Bad
64,103,1,52,22,1,1,88,26,6,6,24,3,38,1,5,5,29,77,4,3,2,58,Bad
60,281,1,73,35,0,0,78,0,4,6,40,4,28,0,8,8,16,86,10,4,2,68,Bad
60,164,4,67,18,2,0,67,1,4,5,24,2,58,0,5,5,0,53,0,4,0,63,Bad
59,191,4,74,38,0,0,93,5,4,6,40,2,33,1,2,2,48,45,12,3,3,83,Bad
76,170,2,68,32,0,0,97,10,4,6,35,5,34,1,3,3,13,0,2,4,0,67,Good
75,325,7,101,23,1,1,96,65,6,6,24,1,63,6,0,0,47,70,4,4,0,89,Good
76,220,4,87,31,0,0,94,43,6,6,31,3,55,5,1,1,31,64,4,2,0,60,Good
65,293,11,142,20,1,0,38,2,4,5,24,1,50,3,13,13,9,32,4,4,2,62,Bad
66,234,4,69,54,2,1,98,60,6,5,60,4,25,0,2,2,19,62,6,4,0,57,Bad
64,432,3,87,34,0,0,97,17,6,6,35,7,35,0,2,2,34,47,8,7,2,71,Bad
63,130,3,67,25,0,0,86,2,4,6,29,1,34,0,0,0,57,75,4,2,2,67,Bad
60,125,8,34,26,0,0,96,10,4,6,26,2,15,0,3,3,56,70,4,1,1,67,Bad
58,274,11,144,9,2,0,64,41,4,5,11,1,36,0,3,3,68,15,2,3,1,100,Bad
56,82,5,37,29,0,0,93,17,6,6,30,3,57,0,1,1,43,85,5,3,2,73,Bad
51,232,6,93,13,2,1,69,1,0,2,16,3,38,0,0,0,94,88,2,3,1,83,Bad
68,130,8,51,30,2,2,97,71,6,6,36,2,53,0,0,0,59,24,5,4,0,75,Bad
68,264,17,106,22,0,0,88,78,6,6,26,0,46,0,0,0,64,65,5,3,3,90,Bad
70,233,6,69,31,0,0,97,6,4,6,33,1,33,0,0,0,35,68,6,3,1,59,Bad
70,321,11,67,13,2,2,82,71,6,4,17,1,53,0,4,4,50,80,3,5,0,90,Bad
73,232,5,72,19,0,0,95,8,4,6,19,3,42,0,0,0,35,85,6,2,0,73,Bad
60,273,3,126,32,4,4,89,2,4,6,35,3,11,0,0,0,37,74,16,2,0,95,Good
59,152,8,50,23,4,2,79,29,6,2,29,4,41,0,0,0,70,93,8,3,1,100,Bad
64,164,8,71,25,1,0,92,7,4,6,26,3,38,0,3,3,58,84,3,3,0,67,Bad
67,282,11,108,37,0,0,95,3,4,6,40,1,43,0,1,1,68,58,5,3,2,80,Bad
80,290,5,82,14,0,0,87,17,5,6,15,2,60,0,0,0,16,44,3,4,0,78,Bad
74,279,3,90,31,1,1,97,12,6,4,33,3,18,0,2,2,5,95,4,3,0,47,Bad
73,94,3,49,21,0,0,95,57,6,6,22,2,36,0,2,2,42,47,3,2,1,56,Bad
58,175,6,57,45,1,0,96,8,3,5,47,1,53,0,3,3,69,85,6,12,3,78,Bad
64,159,1,54,20,1,0,89,20,5,5,27,2,52,0,2,2,42,94,4,2,2,86,Good
73,144,38,96,13,0,0,85,44,6,6,13,0,8,0,0,0,40,5,10,1,1,85,Bad
69,338,2,62,22,0,0,96,12,6,6,23,3,35,0,4,4,25,100,3,2,1,45,Good
58,118,21,66,14,3,0,75,3,4,5,20,0,30,0,0,0,62,66,5,4,0,90,Bad
82,247,3,57,46,0,0,98,18,6,6,46,3,28,0,0,0,3,45,3,2,0,45,Bad
64,120,6,49,15,1,1,88,25,6,4,16,2,44,0,1,1,69,81,4,3,2,78,Good
68,343,1,96,40,1,1,90,39,6,2,43,3,37,0,11,11,75,58,8,6,4,71,Good
61,115,13,70,16,3,1,74,9,2,4,19,0,21,0,3,3,10,2,3,2,0,56,Bad
58,39,4,22,12,0,0,83,6,4,6,12,3,8,0,3,3,45,100,6,1,1,88,Bad
52,132,13,62,21,1,1,86,5,4,2,22,0,32,0,1,1,41,90,10,2,1,80,Bad
60,168,23,97,3,6,3,25,7,0,5,11,0,25,0,0,0,26,68,2,2,0,80,Good
66,176,7,61,24,0,0,92,0,4,6,24,1,33,0,0,0,18,92,4,2,1,58,Good
69,124,14,66,20,0,0,95,3,4,6,20,0,60,0,0,0,58,73,3,3,1,86,Bad
72,141,1,66,10,0,0,83,15,6,6,12,2,25,0,1,1,49,94,2,1,1,33,Bad
69,165,4,62,12,0,0,92,75,6,6,12,2,58,0,1,1,97,71,4,1,3,100,Bad
64,345,3,109,31,2,1,92,59,6,2,36,3,42,0,3,3,51,78,6,1,3,64,Good
66,190,2,73,25,5,5,88,63,6,2,35,3,59,0,2,2,94,121,4,4,1,100,Bad
63,115,4,54,20,2,1,91,47,0,5,24,2,50,0,1,1,52,75,4,2,1,88,Bad
57,155,0,42,32,0,0,97,0,4,6,34,10,18,0,1,1,40,90,7,4,1,50,Good
58,184,7,66,39,9,2,85,22,0,5,57,3,44,0,3,3,95,78,5,4,3,100,Bad
62,185,9,52,14,1,0,76,3,4,5,17,1,65,0,5,5,26,70,3,4,1,100,Bad
72,188,4,57,36,0,0,97,34,6,6,36,5,56,0,3,3,6,60,2,13,0,65,Good
63,170,2,76,53,3,2,94,22,5,2,62,4,44,0,4,3,34,3,6,2,2,57,Bad
57,162,6,66,25,1,0,80,7,4,5,31,1,40,0,1,1,47,68,6,3,1,82,Bad
69,190,8,61,23,0,0,96,1,4,6,23,2,30,0,0,0,41,70,6,3,1,75,Bad
55,142,2,53,21,1,0,75,6,4,5,24,3,42,0,1,1,96,41,4,3,2,78,Bad
52,195,4,86,12,5,3,61,2,4,4,19,1,67,0,2,2,25,82,1,4,0,71,Good
81,329,12,111,19,0,0,95,1,4,6,20,0,55,0,0,0,1,86,2,4,0,67,Bad
71,324,5,91,55,0,0,93,44,6,6,59,2,8,0,0,0,38,83,10,2,2,62,Bad
61,105,8,53,44,1,0,89,6,4,5,45,3,36,0,7,7,39,60,5,4,1,64,Bad
67,79,4,43,12,1,1,93,28,6,2,14,2,36,0,4,4,74,47,6,1,1,100,Bad
66,198,10,70,37,1,0,78,5,4,5,40,4,50,0,2,2,1,78,4,3,0,39,Bad
65,166,6,78,16,0,0,78,13,6,6,18,1,56,0,0,0,51,3,3,2,1,83,Bad
80,154,14,69,39,0,0,98,71,6,6,41,0,27,0,1,1,10,59,3,3,0,55,Bad
70,213,4,90,36,0,0,97,45,6,6,36,1,39,0,1,1,93,67,5,4,3,100,Bad
73,190,18,88,28,0,0,89,12,6,6,28,0,39,0,3,3,21,62,3,2,0,63,Bad
68,310,3,96,33,1,1,97,68,6,2,34,4,26,0,4,4,73,89,6,4,3,71,Good
69,80,7,46,6,3,2,75,50,6,4,9,2,50,0,1,0,30,93,1,2,0,75,Bad
64,460,3,130,23,0,0,96,0,4,6,23,6,9,0,0,0,34,92,7,1,3,67,Bad
74,202,23,68,27,0,0,93,7,4,6,27,0,30,0,0,0,16,48,3,3,0,46,Bad
62,80,2,47,24,0,0,96,59,6,6,25,1,48,0,0,0,73,113,5,5,2,91,Bad
67,69,3,43,6,3,1,50,10,4,4,10,1,60,0,5,3,27,101,1,2,0,60,Bad
70,112,7,51,27,1,0,96,79,5,5,28,3,36,0,0,0,49,85,7,3,2,83,Bad
58,80,27,62,11,2,1,83,33,6,5,13,0,50,0,1,1,82,42,3,3,2,100,Bad
56,239,3,98,12,0,0,75,1,4,6,12,1,25,0,3,3,69,82,7,3,2,100,Bad
61,282,2,86,40,1,1,95,1,0,2,42,4,14,0,3,3,40,100,8,2,2,55,Good
59,128,11,55,11,1,1,75,4,0,2,12,1,25,0,0,0,20,91,3,2,0,71,Bad
74,197,1,93,31,1,0,86,29,6,5,35,3,26,0,2,2,28,27,2,4,0,40,Bad
63,132,6,74,12,1,0,86,5,4,5,14,1,43,0,0,0,74,48,3,2,2,75,Good
69,51,4,20,6,2,2,86,54,6,2,9,3,43,0,3,3,48,71,3,2,0,100,Bad
63,112,4,54,17,1,1,89,21,6,2,19,1,37,0,0,0,72,97,7,3,4,91,Bad
65,111,19,63,23,1,1,92,25,6,2,25,0,64,0,4,4,72,114,1,8,0,90,Bad
71,200,8,74,35,0,0,97,38,6,6,39,3,56,0,0,0,82,92,4,6,3,91,Bad
67,250,6,103,26,0,0,88,1,4,6,26,1,35,0,0,0,79,60,4,2,2,75,Bad
66,187,4,38,18,1,0,95,62,6,5,22,5,36,0,4,4,46,79,6,4,1,92,Bad
56,91,16,54,4,6,2,27,12,6,3,11,0,55,0,8,8,104,86,2,1,1,100,Bad
66,202,9,82,23,2,2,96,0,4,6,26,1,17,0,0,0,33,70,7,3,0,63,Bad
64,150,8,48,23,0,0,96,23,6,6,23,2,61,0,2,2,65,96,2,6,1,73,Good
67,144,9,60,18,0,0,95,6,4,6,20,3,25,0,3,1,70,91,3,2,2,83,Bad
67,83,2,36,30,0,0,97,25,6,6,32,8,44,0,3,3,39,89,4,8,0,80,Good
73,201,16,108,13,0,0,93,12,6,6,14,0,21,0,0,0,47,77,6,2,1,89,Bad
54,336,13,93,17,1,1,89,4,2,4,18,0,33,0,4,4,65,53,4,2,2,75,Bad
67,255,1,104,41,6,6,88,12,6,6,48,1,21,0,1,1,30,59,3,4,1,39,Good
72,290,0,59,21,2,2,92,26,6,6,26,5,35,0,10,9,2,82,4,6,0,58,Bad
76,111,1,50,20,0,0,95,79,6,6,22,3,45,0,1,1,25,83,2,3,1,63,Good
62,265,14,104,28,6,1,67,16,5,5,40,0,44,0,4,4,78,77,5,2,1,78,Bad
57,71,4,32,24,0,0,92,9,4,6,24,4,46,0,2,2,53,83,5,6,2,87,Bad
62,98,4,60,24,0,0,84,3,4,6,25,1,32,7,0,0,75,96,3,2,1,56,Bad
79,121,18,75,22,1,0,96,70,6,5,24,0,58,19,0,0,7,42,2,2,0,44,Good
66,128,7,63,48,1,0,93,23,6,5,55,6,40,1,2,1,39,77,7,2,1,77,Good
56,44,2,24,12,3,2,88,11,4,3,17,4,29,0,11,11,9,96,1,3,1,33,Bad
70,142,2,56,17,1,0,89,34,6,5,19,2,37,2,1,1,52,63,4,3,2,67,Good
57,192,5,75,35,0,0,89,5,4,6,37,5,41,5,0,0,81,92,6,2,2,90,Bad
71,172,5,74,18,0,0,95,52,6,6,19,3,16,4,1,1,55,36,4,2,2,89,Bad
65,192,6,79,22,3,2,78,44,6,2,27,3,26,8,1,0,59,80,7,2,2,90,Good
72,242,6,68,15,0,0,87,5,4,6,16,1,73,7,0,0,0,8,0,2,0,50,Good
86,255,3,90,25,0,0,96,59,6,6,26,2,46,8,0,0,1,85,3,2,0,42,Good
75,258,2,79,21,1,1,96,41,6,2,24,4,29,2,1,1,3,62,2,2,0,45,Bad
65,206,5,68,30,0,0,97,6,4,6,68,1,39,1,1,1,63,73,6,3,1,100,Bad
68,172,3,74,23,1,0,92,5,3,5,28,4,28,2,2,2,6,98,1,2,0,25,Good
64,199,4,70,32,2,1,91,7,4,2,34,3,53,11,0,0,54,100,1,3,1,57,Bad
54,266,5,99,54,0,0,96,11,4,6,56,2,43,2,3,3,58,67,12,6,3,69,Bad
79,202,2,74,29,0,0,93,72,6,6,30,3,13,0,2,2,7,85,5,2,0,58,Bad
58,247,2,62,30,0,0,94,1,4,6,32,4,34,9,0,0,62,70,5,2,2,89,Bad
64,281,13,91,54,3,3,93,7,4,3,60,0,32,4,2,2,35,72,4,3,2,41,Good
80,70,5,32,13,0,0,93,56,6,6,14,1,36,4,1,1,9,83,1,2,0,43,Good
85,140,13,81,12,0,0,92,82,6,6,13,0,38,12,0,0,1,93,1,2,0,50,Good
73,200,2,74,70,0,0,99,39,6,6,71,4,66,1,8,8,9,94,4,9,0,82,Good
77,126,8,61,25,0,0,92,42,6,6,25,4,12,7,0,0,9,100,7,2,0,63,Good
45,265,3,98,50,2,2,86,1,4,6,51,1,25,11,0,0,62,69,8,4,3,65,Good
55,93,7,45,32,0,0,94,8,4,6,33,4,58,7,0,0,100,85,2,7,1,100,Bad
64,109,13,65,9,1,1,90,60,6,6,10,0,50,12,0,0,86,39,3,3,1,100,Bad
64,231,2,62,28,1,1,97,22,6,2,30,2,23,1,2,2,63,55,9,1,4,56,Good
78,84,2,25,11,1,0,92,20,6,5,13,1,15,2,4,4,2,77,1,1,0,20,Good
57,130,6,38,15,0,0,80,1,4,6,15,1,27,13,0,0,84,71,6,3,4,82,Bad
85,241,7,98,22,1,0,96,33,6,5,23,4,39,3,1,1,4,97,1,3,0,45,Bad
57,183,4,73,24,0,0,79,2,4,6,24,3,29,1,4,4,59,77,6,3,2,82,Good
68,60,7,31,11,1,0,92,27,6,5,12,3,42,0,1,1,50,77,5,2,1,88,Bad
70,78,4,50,23,0,0,96,11,4,6,24,1,46,3,2,2,48,76,2,5,0,78,Good
79,444,1,126,19,1,1,95,44,6,2,22,2,45,2,1,1,4,75,3,2,0,63,Good
76,205,1,68,19,1,1,95,81,6,3,22,2,41,1,2,2,82,87,3,6,2,90,Bad
70,183,3,69,20,1,0,79,0,3,5,24,2,42,3,1,1,16,80,5,3,0,80,Bad
72,210,4,83,14,0,0,93,57,6,6,15,2,43,0,3,3,59,79,4,3,2,88,Bad
52,266,2,103,18,5,5,76,2,4,4,23,4,33,7,0,0,52,46,5,3,1,82,Good
73,106,4,48,19,0,0,95,81,6,6,20,3,30,1,4,4,20,89,1,3,1,40,Good
82,194,6,87,33,1,0,97,66,6,5,34,2,21,10,0,0,2,84,5,2,0,44,Good
73,140,7,47,12,0,0,92,46,6,6,12,2,33,5,1,1,49,74,2,3,1,75,Bad
69,142,6,43,12,0,0,93,23,6,6,15,2,87,5,0,0,53,87,2,3,0,100,Bad
89,203,6,79,28,0,0,97,62,6,6,34,2,53,20,0,0,8,90,1,2,0,33,Good
49,259,21,119,7,2,0,67,1,3,5,9,0,11,11,0,0,89,25,5,1,2,86,Good
66,147,4,68,37,5,4,90,73,6,2,42,3,43,1,1,1,65,78,10,3,2,87,Good
79,243,15,106,19,0,0,95,12,6,6,19,0,53,3,2,2,22,40,3,5,0,82,Good
73,374,8,85,27,0,0,96,16,6,6,27,1,26,0,1,1,38,11,4,3,2,70,Bad
69,276,3,118,33,0,0,97,41,6,6,35,1,17,3,2,2,69,100,9,2,6,67,Good
74,219,3,90,42,0,0,96,6,4,6,49,3,33,1,6,5,19,59,4,4,0,75,Bad
74,310,4,101,8,1,0,89,14,6,5,9,2,67,13,0,0,23,63,1,4,0,71,Good
57,224,4,83,25,2,0,62,3,4,5,34,5,47,5,1,1,63,62,4,3,1,88,Bad
63,224,4,52,28,1,1,96,29,6,6,28,4,29,6,0,0,42,73,8,3,3,73,Good
75,183,2,85,29,1,0,97,77,6,5,32,2,50,2,1,1,9,79,2,3,0,50,Good
70,300,5,98,62,0,0,98,67,6,6,64,1,27,0,3,3,31,33,10,5,1,59,Good
73,195,1,77,29,1,1,94,41,6,3,34,7,47,8,0,0,28,99,7,3,1,77,Good
61,271,9,86,26,0,0,89,3,4,6,27,1,56,0,1,1,57,67,6,5,2,92,Bad
74,88,4,50,18,0,0,83,11,6,6,19,4,33,3,1,1,3,100,1,2,0,38,Bad
75,135,4,60,12,1,0,93,26,6,5,14,2,43,7,0,0,79,96,3,3,1,100,Good
77,265,4,105,50,1,1,98,61,6,3,58,1,38,12,0,0,15,64,8,4,2,59,Good
66,308,3,97,35,0,0,88,1,4,6,42,5,32,3,2,2,45,46,5,5,1,83,Good
68,132,4,49,16,1,1,94,19,6,6,16,1,50,0,3,3,50,76,5,2,0,88,Bad
65,120,3,51,9,1,1,70,51,6,6,10,3,50,2,2,1,47,89,4,2,0,86,Good
70,88,3,45,38,0,0,97,8,4,6,38,3,13,3,2,2,15,45,1,1,0,10,Good
56,126,15,66,22,2,2,86,0,4,6,22,0,23,14,0,0,21,60,4,2,0,55,Bad
74,182,17,113,12,1,0,85,23,6,5,13,0,38,16,0,0,37,88,4,2,0,86,Good
69,256,4,69,57,1,1,95,31,6,3,63,4,44,0,5,5,58,82,14,9,5,77,Good
71,291,3,91,16,0,0,88,22,6,6,17,1,47,10,0,0,31,60,4,6,1,83,Good
64,243,11,84,30,0,0,94,25,6,6,32,1,41,11,0,0,92,35,6,2,4,89,Bad
51,402,9,137,42,5,3,74,2,4,4,50,1,42,2,3,3,21,31,3,4,0,53,Bad
75,199,2,69,39,0,0,98,62,6,6,43,3,14,0,3,3,10,38,6,1,1,47,Good
84,419,4,90,47,0,0,98,72,6,6,51,6,22,5,1,1,5,82,4,2,0,38,Good
64,222,6,95,16,1,0,82,6,4,5,17,2,47,0,1,1,36,92,5,2,1,70,Bad
67,125,6,57,19,2,0,81,12,6,5,22,4,19,23,1,0,16,48,3,3,0,55,Good
63,135,36,70,7,3,0,55,1,4,5,11,0,55,8,0,0,23,33,1,3,1,80,Good
70,163,3,65,37,0,0,97,6,4,6,39,2,36,1,10,10,5,53,4,2,0,47,Bad
77,198,12,94,18,2,2,95,52,6,2,22,0,41,8,0,0,0,85,0,2,0,67,Good
51,204,2,71,30,2,2,94,1,4,6,35,6,47,0,4,3,94,51,5,6,5,86,Bad
75,300,2,130,27,0,0,93,78,6,6,28,1,25,0,5,5,39,97,3,4,0,64,Good
69,110,6,53,24,0,0,96,35,6,6,26,3,31,7,0,0,45,98,12,4,1,84,Bad
76,254,1,102,36,3,3,90,25,6,3,40,5,35,0,1,1,3,68,6,4,0,59,Good
63,190,3,71,39,0,0,97,10,4,6,39,6,28,2,1,1,55,83,5,2,2,80,Good
63,165,2,73,23,0,0,88,5,4,6,25,5,56,3,1,1,36,28,6,5,1,85,Bad
69,226,4,95,41,1,0,93,38,6,5,46,2,26,0,1,1,8,59,3,4,1,42,Bad
80,245,3,88,44,0,0,98,58,6,6,45,2,27,5,0,0,21,81,4,3,0,100,Good
74,142,2,60,44,2,2,98,18,6,6,47,4,28,5,0,0,0,90,3,5,1,40,Good
63,250,27,76,12,0,0,75,1,4,6,14,0,17,0,2,2,36,11,5,1,0,75,Bad
83,348,2,100,61,0,0,98,24,6,6,67,4,35,1,1,1,6,62,7,4,0,52,Good
84,196,3,74,17,0,0,94,36,6,6,17,1,53,1,3,3,0,74,0,3,0,50,Good
73,158,7,62,17,1,1,89,13,6,2,19,1,37,20,0,0,19,47,1,3,0,80,Bad
72,428,18,102,26,0,0,96,14,6,6,26,0,19,17,0,0,22,53,2,3,2,33,Good
63,163,6,68,35,1,0,86,0,3,5,37,2,27,2,1,1,18,80,6,2,1,64,Bad
57,360,6,124,40,3,0,93,2,3,5,44,2,25,7,0,0,60,39,9,3,1,86,Bad
63,142,10,78,16,1,0,76,5,3,5,17,2,47,15,0,0,59,51,3,2,2,83,Bad
55,139,0,46,23,2,1,77,2,0,2,26,4,31,7,0,0,33,65,4,3,0,67,Bad
57,134,3,66,36,0,0,97,22,6,6,36,3,25,0,2,2,64,29,11,5,9,71,Bad
75,336,9,98,22,1,0,91,13,6,5,23,1,39,0,0,0,16,91,2,3,0,83,Bad
63,102,4,56,5,4,3,38,11,4,3,13,1,38,0,0,0,16,81,1,4,0,83,Bad
70,151,2,79,38,0,0,95,24,6,6,39,1,21,0,1,1,29,84,14,3,2,81,Bad
73,161,4,73,43,1,1,84,31,6,4,44,1,20,0,8,8,30,91,5,3,1,35,Good
50,54,4,19,16,0,0,94,4,4,6,17,7,29,0,0,0,89,42,4,2,3,75,Bad
55,234,13,83,20,1,0,70,1,3,5,24,0,22,4,3,3,46,24,8,3,2,72,Bad
55,162,19,73,26,2,2,91,3,4,2,33,0,55,16,0,0,79,87,1,9,1,91,Bad
57,188,16,83,13,1,0,79,3,3,5,14,0,29,16,0,0,98,95,3,3,3,86,Bad
66,128,2,45,7,3,2,89,55,0,3,9,1,33,0,4,4,13,88,4,2,0,100,Bad
76,292,1,110,38,0,0,98,67,6,6,44,3,18,6,0,0,21,96,7,2,2,59,Good
58,254,9,142,31,2,2,82,25,6,6,33,1,67,0,5,5,61,33,2,4,1,88,Bad
77,158,6,67,16,0,0,94,3,4,6,17,2,12,0,2,2,10,91,1,2,0,50,Bad
69,220,7,93,30,0,0,97,2,4,6,30,1,30,1,1,1,14,73,6,2,1,69,Good
70,308,4,77,41,1,1,95,2,0,2,42,3,29,0,2,2,6,78,4,7,1,48,Good
69,198,3,88,29,0,0,97,43,6,6,32,2,37,1,4,4,61,93,5,3,2,62,Good
80,222,3,96,28,0,0,93,21,6,6,29,2,41,0,0,0,14,45,2,4,0,46,Good
69,323,6,107,44,1,1,96,77,6,6,46,1,22,0,0,0,46,94,18,3,3,60,Bad
