age,education.num,capital.gain,capital.loss,hours.per.week,workclass,marital.status,occupation,race,sex,native.country,income
37,9,0,0,40,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
62,13,0,0,40,State-gov,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
42,11,0,0,40,Private,Divorced,Tech-support,White,Female,United-States,<=50K
17,6,0,0,20,Private,Never-married,Sales,White,Female,United-States,<=50K
30,10,0,0,68,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
49,9,0,0,40,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
47,12,0,1740,40,State-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K
26,7,0,0,40,State-gov,Divorced,Other-service,White,Female,United-States,<=50K
38,14,0,0,40,State-gov,Never-married,Prof-specialty,White,Female,United-States,<=50K
28,12,0,0,30,Private,Married-civ-spouse,Sales,White,Male,United-States,<=50K
37,10,0,0,45,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
56,13,0,0,50,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
23,13,0,0,40,Private,Never-married,Exec-managerial,Asian-Pac-Islander,Male,United-States,<=50K
52,15,0,0,70,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
33,9,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
75,9,0,0,35,Self-emp-inc,Widowed,Sales,Asian-Pac-Islander,Male,United-States,>50K
45,14,0,0,65,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
58,7,0,0,40,Private,Widowed,Other-service,White,Female,United-States,<=50K
63,10,4386,0,40,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
27,9,0,0,40,Private,Never-married,Craft-repair,White,Male,United-States,<=50K
21,7,0,0,40,?,Married-civ-spouse,?,White,Female,United-States,<=50K
19,9,0,0,40,Private,Never-married,Sales,White,Female,United-States,<=50K
59,10,0,0,50,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
17,8,0,0,20,Private,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
63,7,0,0,12,Private,Never-married,Farming-fishing,White,Male,United-States,<=50K
31,10,0,0,40,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
29,14,0,0,20,State-gov,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,Taiwan,<=50K
18,7,0,0,16,?,Never-married,?,White,Male,United-States,<=50K
44,8,0,0,40,Local-gov,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
24,9,0,0,40,Private,Never-married,Handlers-cleaners,Black,Female,United-States,<=50K
31,14,0,0,50,State-gov,Divorced,Exec-managerial,White,Female,United-States,>50K
45,9,0,0,40,Private,Divorced,Other-service,White,Female,United-States,<=50K
55,10,0,0,40,Private,Divorced,Adm-clerical,White,Female,United-States,<=50K
42,15,0,1977,50,Self-emp-inc,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
39,13,0,0,40,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
44,13,0,0,35,Private,Never-married,Tech-support,White,Male,United-States,<=50K
23,10,0,0,40,Self-emp-not-inc,Divorced,Adm-clerical,White,Male,United-States,<=50K
21,10,0,0,30,Private,Never-married,Other-service,White,Female,United-States,<=50K
28,9,0,0,40,Private,Never-married,Other-service,White,Female,United-States,<=50K
44,9,0,0,40,Private,Never-married,Exec-managerial,White,Female,United-States,<=50K
29,9,0,0,40,Private,Never-married,Craft-repair,Black,Male,United-States,<=50K
57,14,0,1977,40,Private,Married-civ-spouse,Exec-managerial,Black,Male,United-States,>50K
33,9,0,0,40,Private,Never-married,Machine-op-inspct,White,Male,United-States,<=50K
39,9,0,0,81,Private,Divorced,Other-service,White,Female,United-States,<=50K
75,9,2346,0,15,Self-emp-not-inc,Divorced,Sales,White,Male,United-States,<=50K
40,10,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
27,10,0,0,40,Private,Never-married,Adm-clerical,White,Female,United-States,<=50K
33,13,0,0,50,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
47,9,0,0,44,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
20,9,0,0,40,Private,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
28,9,0,0,40,?,Separated,?,White,Female,United-States,<=50K
25,13,0,0,44,Private,Divorced,Prof-specialty,White,Female,United-States,<=50K
41,12,0,0,40,Private,Married-civ-spouse,Tech-support,White,Male,United-States,<=50K
53,14,15024,0,65,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
22,10,0,0,10,State-gov,Never-married,Other-service,White,Male,United-States,<=50K
55,13,0,0,40,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
21,10,0,0,25,Private,Never-married,Other-service,Asian-Pac-Islander,Female,United-States,<=50K
23,3,0,0,40,Private,Married-civ-spouse,Transport-moving,White,Male,Mexico,<=50K
30,13,0,0,60,Private,Married-civ-spouse,Other-service,White,Male,United-States,>50K
35,9,0,0,44,Private,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
35,9,0,0,40,Local-gov,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Male,United-States,<=50K
26,7,0,0,40,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
21,10,0,0,35,Private,Never-married,Tech-support,White,Male,United-States,<=50K
49,13,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
52,9,0,0,40,Private,Separated,Adm-clerical,White,Female,United-States,<=50K
48,9,0,0,40,Federal-gov,Divorced,Handlers-cleaners,White,Male,United-States,<=50K
20,6,0,0,40,Private,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
18,8,0,0,20,Private,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
20,10,0,0,35,Private,Never-married,Adm-clerical,Other,Female,United-States,<=50K
35,9,0,0,40,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
58,7,0,0,16,?,Married-civ-spouse,?,White,Male,United-States,<=50K
38,10,0,0,25,Private,Divorced,Sales,White,Female,United-States,<=50K
21,11,0,0,40,Private,Never-married,Craft-repair,White,Male,United-States,<=50K
25,9,0,0,45,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
51,13,0,0,55,Private,Never-married,Sales,White,Male,United-States,>50K
28,7,0,0,50,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
25,8,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
40,11,0,1977,15,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Female,United-States,>50K
26,15,0,1977,40,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
34,14,0,0,50,State-gov,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
25,13,0,0,40,Private,Divorced,Sales,White,Female,United-States,<=50K
38,10,0,0,42,Private,Divorced,Exec-managerial,White,Female,United-States,<=50K
52,9,0,0,52,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K
61,3,7298,0,40,Private,Married-civ-spouse,Handlers-cleaners,Asian-Pac-Islander,Male,Philippines,>50K
26,7,2907,0,50,Private,Separated,Craft-repair,White,Male,United-States,<=50K
54,14,0,0,45,Private,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,United-States,>50K
54,9,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
63,10,0,0,12,Private,Married-civ-spouse,Prof-specialty,White,Female,United-States,<=50K
55,7,0,0,20,Private,Divorced,Sales,White,Female,United-States,<=50K
43,14,0,2547,40,Private,Divorced,Exec-managerial,White,Female,United-States,>50K
47,16,0,0,50,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
36,12,14344,0,40,Private,Never-married,Tech-support,Black,Male,England,>50K
25,13,0,0,50,Private,Never-married,Exec-managerial,White,Female,United-States,<=50K
69,4,0,0,48,?,Married-civ-spouse,?,White,Male,United-States,<=50K
41,9,0,0,60,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
26,10,0,0,12,State-gov,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
44,10,0,0,50,Self-emp-inc,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
27,12,3325,0,40,Private,Never-married,Exec-managerial,White,Male,United-States,<=50K
25,12,0,0,13,?,Married-civ-spouse,?,White,Male,United-States,<=50K
33,9,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
32,12,0,0,60,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
27,9,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
38,10,0,0,60,Self-emp-not-inc,Never-married,Sales,White,Male,United-States,<=50K
31,12,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
42,9,0,0,50,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
25,12,0,0,40,Private,Divorced,Adm-clerical,White,Female,United-States,<=50K
55,9,0,0,40,Private,Widowed,Adm-clerical,White,Female,United-States,<=50K
61,10,0,0,40,Private,Never-married,Priv-house-serv,White,Female,United-States,<=50K
43,10,0,1902,40,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
28,13,0,0,40,Private,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
43,11,0,0,99,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
38,10,0,0,40,Self-emp-not-inc,Divorced,Craft-repair,White,Male,United-States,<=50K
35,14,0,0,45,Private,Never-married,Prof-specialty,White,Male,United-States,>50K
20,12,0,1719,20,State-gov,Never-married,Other-service,White,Male,United-States,<=50K
42,13,0,0,50,Local-gov,Never-married,Prof-specialty,White,Male,United-States,<=50K
37,10,2174,0,40,Private,Never-married,Exec-managerial,White,Male,United-States,<=50K
40,16,0,0,60,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
58,11,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
23,12,0,1721,20,?,Never-married,?,White,Male,United-States,<=50K
34,9,0,0,70,Private,Married-civ-spouse,Sales,White,Male,United-States,<=50K
61,9,0,0,40,Private,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
34,10,0,0,40,Private,Never-married,Prof-specialty,White,Female,United-States,<=50K
30,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,United-States,<=50K
46,9,0,0,40,Private,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
21,10,0,0,50,Private,Never-married,Adm-clerical,Black,Male,United-States,<=50K
38,12,0,0,40,Private,Never-married,Craft-repair,White,Male,United-States,<=50K
27,9,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
22,10,0,0,30,Private,Never-married,Sales,White,Female,United-States,<=50K
55,9,0,0,50,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
45,13,4934,0,50,Local-gov,Divorced,Prof-specialty,White,Female,United-States,>50K
60,10,0,0,40,Private,Divorced,Adm-clerical,White,Female,United-States,<=50K
52,10,0,0,65,Private,Married-civ-spouse,Sales,White,Male,United-States,<=50K
20,10,0,0,38,State-gov,Never-married,Craft-repair,White,Male,United-States,<=50K
31,8,0,0,40,Private,Separated,Transport-moving,Black,Male,United-States,<=50K
57,9,0,0,15,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
28,13,0,0,18,?,Never-married,?,White,Male,United-States,<=50K
28,9,0,0,20,Private,Never-married,Other-service,White,Male,United-States,<=50K
23,12,0,0,25,Private,Never-married,Other-service,White,Female,United-States,<=50K
19,10,0,0,10,?,Never-married,?,White,Female,United-States,<=50K
35,9,0,0,40,Private,Divorced,Adm-clerical,White,Female,United-States,<=50K
49,13,0,0,40,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
51,13,0,0,40,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,White,Female,United-States,>50K
62,9,0,0,16,Private,Married-civ-spouse,Sales,White,Male,United-States,<=50K
18,8,0,0,10,Private,Never-married,Other-service,White,Male,United-States,<=50K
32,11,0,0,60,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Other,Male,United-States,<=50K
35,9,0,0,40,Private,Divorced,Machine-op-inspct,White,Male,United-States,<=50K
33,9,0,0,40,State-gov,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
24,13,0,0,40,Private,Separated,Exec-managerial,White,Female,United-States,<=50K
42,11,0,0,37,Private,Married-civ-spouse,Sales,White,Male,United-States,<=50K
30,9,0,2001,42,Private,Never-married,Adm-clerical,White,Male,United-States,<=50K
61,13,0,0,40,?,Married-civ-spouse,?,White,Male,United-States,>50K
55,9,0,0,81,Private,Separated,Protective-serv,White,Male,United-States,<=50K
65,7,0,0,8,Private,Widowed,Adm-clerical,White,Female,United-States,<=50K
47,13,0,0,40,Local-gov,Divorced,Prof-specialty,Black,Female,United-States,<=50K
33,14,0,0,40,Private,Never-married,Exec-managerial,White,Male,United-States,<=50K
42,3,0,0,40,Private,Married-spouse-absent,Craft-repair,White,Male,Puerto-Rico,<=50K
47,16,0,0,60,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
51,10,0,2057,60,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Female,Canada,<=50K
43,13,0,0,35,State-gov,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
44,15,0,0,40,Private,Never-married,Prof-specialty,White,Female,United-States,>50K
37,9,0,0,50,Private,Never-married,Farming-fishing,White,Male,United-States,<=50K
24,7,0,0,39,Private,Never-married,Transport-moving,White,Male,United-States,<=50K
24,10,0,0,35,Private,Never-married,Sales,White,Male,United-States,<=50K
33,13,0,0,40,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
31,11,0,0,38,State-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K
33,13,0,1902,45,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
48,12,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
48,13,4386,0,50,Private,Married-civ-spouse,Sales,White,Male,United-States,>50K
33,13,0,0,70,Local-gov,Married-civ-spouse,Protective-serv,Black,Male,United-States,>50K
36,9,0,0,50,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
53,10,0,0,40,Local-gov,Divorced,Adm-clerical,White,Female,United-States,<=50K
21,10,0,0,40,Private,Never-married,Exec-managerial,White,Male,United-States,<=50K
27,9,0,0,40,Private,Never-married,Adm-clerical,White,Male,United-States,<=50K
21,10,0,0,35,?,Never-married,?,White,Female,United-States,<=50K
37,9,0,0,40,Private,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
40,10,0,0,35,Self-emp-not-inc,Never-married,Craft-repair,White,Male,United-States,>50K
59,9,0,1887,40,Federal-gov,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
26,10,0,0,78,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
46,9,0,0,40,Local-gov,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
29,10,0,0,40,Private,Married-civ-spouse,Craft-repair,Black,Male,Jamaica,>50K
19,9,0,0,30,Private,Never-married,Adm-clerical,White,Male,United-States,<=50K
46,9,0,0,37,Private,Divorced,Craft-repair,White,Male,United-States,<=50K
36,9,0,0,60,State-gov,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
37,9,0,0,40,Private,Never-married,Transport-moving,White,Male,United-States,<=50K
36,13,8614,0,40,Private,Never-married,Exec-managerial,White,Male,United-States,>50K
37,14,0,0,70,Self-emp-inc,Divorced,Exec-managerial,White,Female,United-States,<=50K
