age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,sex,race,c_charge_degree,two_year_recid
31,0,5,0,0,2,1.0,Female,African-American,F,1
29,0,2,0,0,2,1.0,Male,Caucasian,M,1
24,0,3,0,1,0,1.0,Male,African-American,F,0
28,0,6,0,0,2,3.0,Female,Caucasian,F,1
54,0,1,0,0,0,1.0,Male,Caucasian,M,0
23,0,2,0,0,0,1.0,Female,African-American,M,0
28,0,3,0,0,3,1.0,Male,Caucasian,F,0
47,0,4,0,0,13,0.0,Male,Caucasian,M,1
29,0,1,0,0,0,1.0,Male,Caucasian,F,0
47,0,9,0,0,28,1.0,Male,Caucasian,F,1
51,0,6,0,0,3,1.0,Male,Caucasian,F,0
33,0,2,0,0,1,2.0,Female,African-American,F,0
34,0,2,0,0,2,1.0,Male,African-American,F,0
33,0,7,0,0,5,1.0,Female,Native American,F,1
69,0,5,0,0,0,1.0,Male,Caucasian,F,0
24,0,10,0,1,9,23.0,Male,Caucasian,M,1
37,0,8,0,0,23,2.0,Female,African-American,M,1
53,0,6,0,0,36,7.0,Male,Caucasian,F,1
34,0,5,0,0,5,53.0,Female,African-American,F,1
49,0,1,0,0,1,27.0,Female,Caucasian,M,0
50,0,6,0,0,9,1.0,Male,Caucasian,M,1
26,0,6,1,0,8,52.0,Male,African-American,F,0
31,0,1,0,0,1,1.0,Female,Caucasian,M,1
20,0,3,0,2,0,1.0,Male,Hispanic,F,0
57,0,4,0,0,3,176.0,Male,Caucasian,F,0
37,0,6,0,0,8,1.0,Male,African-American,F,0
36,0,1,0,0,0,1.0,Male,Other,F,0
23,0,7,0,0,2,1.0,Male,Other,M,0
64,0,7,0,0,20,1.0,Male,African-American,F,0
23,0,7,0,0,4,330.0,Male,African-American,F,0
51,0,1,0,0,7,1.0,Male,Caucasian,F,1
34,0,9,0,0,12,1.0,Male,African-American,F,1
52,0,5,0,0,1,4696.0,Male,Caucasian,F,0
25,0,5,0,0,2,27.0,Male,African-American,M,1
57,0,4,0,0,14,29.0,Male,Caucasian,F,1
51,0,1,0,0,3,88.0,Male,Caucasian,M,1
28,0,2,0,0,0,1.0,Male,Caucasian,M,1
49,0,1,0,0,0,3.0,Male,Caucasian,M,0
35,0,8,0,1,5,16.0,Male,African-American,F,0
25,0,9,0,0,3,276.0,Male,African-American,M,1
44,0,3,0,0,9,132.0,Male,African-American,F,0
26,0,2,0,0,0,1.0,Male,Caucasian,M,0
22,0,7,0,0,3,1.0,Male,Caucasian,F,1
36,0,2,0,0,7,1.0,Male,African-American,F,1
33,0,2,0,0,0,3.0,Female,Caucasian,M,0
35,0,8,0,0,10,1.0,Male,African-American,M,1
22,0,4,1,0,3,1.0,Male,African-American,F,1
25,0,6,0,0,1,1554.0,Female,African-American,M,0
37,0,3,0,0,12,74.0,Male,African-American,F,0
23,0,5,1,0,3,1.0,Male,African-American,F,1
45,0,1,0,0,0,1.0,Female,Other,M,0
45,0,1,0,0,0,0.0,Female,Caucasian,M,0
41,0,4,0,0,1,1.0,Male,Caucasian,F,1
26,0,9,0,0,8,1.0,Male,African-American,F,1
51,0,1,0,0,0,1.0,Female,Caucasian,M,0
24,0,5,0,0,0,1.0,Male,African-American,M,1
21,0,3,0,0,1,1.0,Male,Caucasian,F,0
24,0,5,0,0,2,1.0,Male,African-American,M,1
29,0,5,0,0,3,1.0,Female,African-American,F,0
20,0,5,1,0,1,1.0,Male,Caucasian,F,1
39,0,2,0,0,1,1.0,Male,Hispanic,M,0
43,0,7,0,0,2,1.0,Male,African-American,F,0
26,0,8,0,0,6,0.0,Male,African-American,M,0
43,0,6,0,0,1,1.0,Male,African-American,F,1
42,0,5,0,0,0,0.0,Male,Caucasian,F,0
47,0,5,0,0,3,0.0,Male,Caucasian,M,0
21,0,8,1,0,6,1.0,Male,African-American,F,1
33,0,1,0,0,0,2.0,Male,African-American,F,0
43,0,3,0,0,3,33.0,Male,Hispanic,M,1
66,0,1,0,0,3,37.0,Male,African-American,F,0
24,0,4,0,1,1,23.0,Male,Caucasian,F,0
33,0,2,0,0,0,1.0,Male,African-American,F,1
26,0,2,0,0,0,1.0,Female,African-American,M,0
24,0,3,0,0,2,1.0,Male,African-American,F,1
55,0,8,0,0,12,40.0,Male,African-American,F,0
30,0,2,0,1,3,1.0,Male,African-American,F,0
34,0,3,0,0,2,1.0,Female,Caucasian,F,0
25,0,5,0,0,5,1.0,Male,African-American,F,1
32,0,1,0,0,1,27.0,Male,Hispanic,F,0
30,0,3,0,0,0,1.0,Male,Caucasian,M,0
26,0,9,0,0,0,1.0,Male,African-American,F,0
21,0,4,0,1,0,1.0,Female,Hispanic,M,1
67,0,3,0,0,1,1.0,Male,Caucasian,F,0
44,0,2,0,0,0,1.0,Male,African-American,F,0
26,0,10,3,0,8,1.0,Male,Caucasian,F,1
55,0,8,0,0,0,1.0,Male,African-American,M,1
53,0,1,0,0,1,90.0,Male,African-American,M,0
41,0,6,0,0,8,29.0,Male,African-American,F,1
47,0,1,0,0,0,1.0,Male,Other,F,0
23,0,5,1,0,1,1.0,Female,African-American,M,0
28,0,3,0,0,2,75.0,Male,African-American,F,0
22,0,3,0,0,0,1.0,Female,African-American,M,0
23,0,7,0,0,2,1.0,Female,African-American,F,1
27,0,6,0,0,12,61.0,Female,African-American,M,1
39,0,1,0,0,3,1.0,Male,Caucasian,F,1
25,0,7,2,0,5,3.0,Male,Caucasian,M,1
41,1,6,0,0,18,0.0,Male,African-American,F,1
24,0,3,0,0,2,25.0,Male,Hispanic,F,0
26,0,2,0,0,0,1.0,Female,African-American,M,0
27,0,3,0,0,1,1.0,Male,Caucasian,M,0
30,0,2,0,0,3,0.0,Male,African-American,F,1
22,0,9,1,0,1,1.0,Male,African-American,F,1
25,0,2,0,0,1,1.0,Male,African-American,F,1
26,0,8,0,0,2,1.0,Male,Caucasian,F,1
30,0,3,0,0,0,1.0,Female,African-American,M,0
52,0,1,0,0,0,1.0,Male,Other,F,0
39,0,4,0,0,1,2.0,Female,Caucasian,F,0
24,0,8,0,1,7,38.0,Female,Caucasian,M,1
52,0,5,0,0,0,1.0,Male,Other,F,1
75,0,4,0,0,1,36.0,Male,Caucasian,F,1
24,0,3,0,0,0,1.0,Male,African-American,M,0
29,0,6,0,0,6,1.0,Male,African-American,F,1
23,0,2,0,0,0,1.0,Male,Other,M,1
21,0,6,0,0,2,10.0,Male,Caucasian,F,0
32,0,9,0,0,8,4.0,Male,Caucasian,F,1
38,0,8,0,0,0,1.0,Male,African-American,F,0
56,0,4,0,0,7,167.0,Male,African-American,F,0
30,0,6,0,1,5,1.0,Male,African-American,F,1
29,0,8,0,0,11,69.0,Male,African-American,F,1
72,0,4,0,0,7,2.0,Male,Caucasian,F,0
25,0,2,0,0,0,1.0,Male,African-American,F,0
24,0,3,0,0,0,1.0,Male,African-American,F,1
53,0,7,0,0,13,1.0,Male,African-American,F,0
41,0,1,0,0,5,1.0,Male,Caucasian,F,0
24,0,2,0,0,1,33.0,Male,Hispanic,F,0
32,0,3,0,0,1,0.0,Male,Hispanic,F,0
20,0,10,0,0,0,1.0,Male,African-American,F,1
39,0,4,0,0,8,1.0,Male,African-American,F,0
26,0,9,0,0,2,16.0,Male,African-American,M,0
55,0,1,0,0,0,1.0,Male,African-American,F,1
51,0,5,0,0,1,0.0,Male,African-American,F,0
24,2,6,1,0,3,0.0,Male,African-American,M,1
52,0,1,0,0,0,1.0,Male,Asian,F,0
52,0,2,0,0,8,0.0,Male,Caucasian,F,0
23,0,9,0,0,3,0.0,Female,African-American,F,1
26,0,2,0,0,2,0.0,Male,African-American,F,1
22,0,3,0,0,0,1.0,Male,Hispanic,F,0
38,0,3,0,0,2,1.0,Female,Caucasian,M,0
23,0,7,0,0,2,1.0,Male,Caucasian,F,1
35,0,8,0,0,13,1.0,Male,African-American,F,1
26,0,7,0,1,5,1.0,Male,African-American,F,1
25,0,8,0,0,5,1.0,Male,African-American,F,0
35,0,1,0,0,2,1.0,Male,Caucasian,M,0
21,0,8,0,0,5,10.0,Male,Caucasian,F,1
31,0,3,0,0,5,1.0,Male,Caucasian,F,1
26,0,7,0,0,1,1510.0,Male,African-American,F,0
24,0,6,0,0,1,5.0,Male,Caucasian,F,0
29,1,10,1,1,4,1.0,Male,African-American,F,1
22,0,6,0,0,3,1.0,Male,African-American,F,0
28,0,4,0,0,0,1.0,Male,African-American,M,1
39,0,1,0,0,0,1.0,Male,Caucasian,M,0
29,0,3,0,0,3,1.0,Male,African-American,M,1
40,0,8,0,0,7,77.0,Male,African-American,F,0
24,0,9,0,0,15,31.0,Male,African-American,F,1
27,1,10,2,1,6,1.0,Male,African-American,M,0
27,0,9,0,1,2,1.0,Male,African-American,M,0
67,0,2,0,0,2,244.0,Male,Caucasian,F,0
46,0,1,0,0,1,1.0,Male,Caucasian,M,1
42,0,3,0,0,2,1.0,Female,Other,M,0
39,0,7,0,0,8,2.0,Female,Caucasian,F,1
40,0,3,0,0,11,1.0,Male,African-American,M,1
33,0,9,0,0,8,165.0,Male,Hispanic,F,1
26,0,2,0,0,0,0.0,Male,Caucasian,M,0
36,0,5,0,0,6,1.0,Male,African-American,F,0
44,0,6,0,0,6,1.0,Male,Caucasian,F,1
25,0,9,0,1,4,1.0,Male,African-American,F,1
53,0,1,0,0,0,1.0,Female,Caucasian,M,0
32,0,2,0,0,0,6.0,Male,Hispanic,M,0
27,0,9,2,1,18,1.0,Male,African-American,F,1
39,0,1,0,0,0,1.0,Male,Caucasian,F,0
42,0,6,0,0,1,0.0,Male,African-American,M,1
21,0,9,0,0,1,1.0,Male,African-American,F,1
51,0,5,0,0,8,1.0,Male,Caucasian,F,1
37,1,9,0,1,12,1.0,Male,African-American,M,1
28,0,6,0,0,8,1.0,Male,African-American,M,1
25,0,4,0,0,2,1.0,Male,African-American,F,0
20,0,3,0,0,0,1.0,Male,African-American,F,0
61,0,1,0,0,0,0.0,Male,Caucasian,M,0
42,0,1,0,0,1,1.0,Male,Caucasian,F,0
28,0,3,0,0,1,1.0,Male,African-American,M,0
55,0,1,0,0,0,1.0,Male,Caucasian,M,0
21,0,8,0,3,1,25.0,Male,Hispanic,F,0
21,0,6,0,0,1,1.0,Male,African-American,F,1
23,0,9,1,0,4,1.0,Male,African-American,F,1
24,0,3,0,0,1,1.0,Male,African-American,M,0
35,0,3,0,0,0,0.0,Male,African-American,F,0
31,0,8,0,0,6,0.0,Male,African-American,F,0
37,0,10,0,1,26,1.0,Male,African-American,F,1
21,0,4,0,0,0,1.0,Male,African-American,F,1
43,0,1,0,0,0,2.0,Female,Caucasian,F,1
20,0,6,0,0,0,1.0,Female,African-American,F,0
62,0,1,0,0,3,1.0,Male,Caucasian,M,0
47,0,2,0,0,5,1.0,Male,Caucasian,M,0
22,0,8,2,0,3,1.0,Male,Caucasian,F,1
31,0,1,0,0,0,1.0,Male,Caucasian,M,1
33,0,9,0,0,7,1.0,Female,African-American,F,1
25,0,6,0,0,4,0.0,Male,African-American,F,1
50,0,1,0,0,1,847.0,Male,Caucasian,F,0
51,0,2,0,0,1,1.0,Male,African-American,F,0
39,0,4,0,0,3,21.0,Male,Hispanic,F,0
24,0,9,0,0,7,1.0,Female,African-American,F,0
23,0,5,0,0,1,1.0,Male,African-American,F,0
21,1,6,0,0,1,79.0,Female,African-American,F,1
37,0,1,0,0,0,1.0,Male,African-American,F,1
22,0,2,0,0,1,1.0,Male,Hispanic,F,1
55,0,1,0,0,2,1.0,Male,Caucasian,M,1
29,0,8,0,0,5,0.0,Male,African-American,F,0
27,0,9,0,0,4,0.0,Male,African-American,F,1
24,0,2,0,0,0,1.0,Male,Caucasian,F,1
23,0,7,0,0,0,1.0,Male,African-American,F,0
23,0,2,0,0,0,1.0,Male,African-American,F,0
29,0,5,0,0,0,1.0,Male,African-American,M,0
29,0,6,0,0,3,1.0,Male,Other,F,0
34,0,5,0,0,4,1.0,Male,Caucasian,F,0
33,0,5,0,0,5,32.0,Male,Caucasian,F,0
52,0,1,0,0,1,1.0,Male,Caucasian,F,0
20,1,10,0,0,1,52.0,Female,African-American,F,1
23,0,2,0,2,1,1.0,Female,Caucasian,M,0
24,0,5,1,0,5,1.0,Male,African-American,F,1
36,10,7,0,0,14,1.0,Male,African-American,F,1
37,0,1,0,0,4,1.0,Male,Other,M,1
58,0,1,0,0,3,1.0,Female,African-American,M,0
27,0,9,0,0,2,1.0,Male,African-American,F,1
36,0,3,0,0,0,1.0,Male,Caucasian,F,0
30,0,6,0,0,3,236.0,Female,African-American,M,0
30,0,8,0,0,14,0.0,Male,African-American,F,1
46,0,2,0,0,0,1.0,Male,Caucasian,F,1
32,0,4,0,0,3,1.0,Male,Caucasian,F,0
30,0,10,0,0,7,1.0,Male,African-American,F,1
50,0,1,0,0,0,1.0,Female,African-American,M,0
48,0,1,0,0,1,1.0,Female,Caucasian,M,1
31,0,3,0,0,1,1.0,Male,Caucasian,F,1
51,0,5,0,0,11,1.0,Male,African-American,M,1
30,0,10,0,0,9,0.0,Male,African-American,F,1
25,0,4,0,0,0,1.0,Female,Caucasian,M,0
27,0,7,0,1,8,1.0,Male,African-American,F,1
26,0,6,0,0,1,1.0,Male,African-American,F,1
20,0,10,0,1,0,0.0,Male,African-American,F,1
27,0,2,0,0,2,430.0,Female,Caucasian,M,0
20,0,10,0,0,0,1.0,Male,African-American,M,1
45,0,4,0,0,8,0.0,Male,Caucasian,M,1
27,0,2,0,0,1,1.0,Male,Caucasian,M,0
33,0,2,0,0,0,1.0,Female,Other,F,0
46,0,5,0,0,0,2.0,Male,Caucasian,M,0
23,0,10,3,1,6,1.0,Male,African-American,F,1
31,0,3,0,0,0,1.0,Male,Other,M,0
25,0,9,1,0,10,1.0,Male,African-American,F,1
65,0,1,0,0,0,1.0,Female,African-American,F,0
23,0,6,0,0,2,19.0,Male,Hispanic,M,1
25,0,7,0,0,0,1.0,Male,African-American,F,0
52,0,6,0,0,7,185.0,Male,African-American,M,0
48,0,1,0,0,1,1.0,Male,African-American,F,0
34,0,7,0,0,0,0.0,Male,African-American,F,1
44,0,6,0,0,4,0.0,Female,Caucasian,F,1
32,2,10,1,0,9,1.0,Male,African-American,F,0
64,0,1,0,0,1,9.0,Male,Hispanic,F,0
46,0,6,0,0,12,1.0,Male,African-American,M,0
47,0,2,0,0,13,0.0,Male,African-American,F,1
36,0,5,0,0,0,1.0,Male,African-American,F,0
26,1,9,0,0,7,43.0,Male,African-American,F,1
59,0,1,0,0,3,0.0,Male,Caucasian,M,1
56,0,1,0,0,9,24.0,Male,Caucasian,M,1
28,0,9,0,0,5,1.0,Female,Caucasian,F,1
35,0,2,0,0,1,1.0,Male,Caucasian,F,0
51,0,3,0,0,2,1.0,Male,African-American,F,0
22,0,9,0,0,1,1.0,Male,Caucasian,F,0
50,0,2,0,0,4,27.0,Male,Caucasian,M,0
49,0,6,0,0,7,1.0,Male,Other,F,1
58,0,4,0,0,3,0.0,Male,Caucasian,F,1
41,0,10,0,0,13,1.0,Male,African-American,F,1
48,0,3,0,0,4,1.0,Male,African-American,F,0
20,0,4,0,0,0,1.0,Male,African-American,F,1
30,0,4,0,0,1,1.0,Male,African-American,F,1
32,0,7,0,0,9,0.0,Male,Caucasian,M,1
31,0,2,0,0,1,1.0,Female,African-American,M,1
28,0,9,0,0,3,49.0,Male,African-American,M,0
53,0,1,0,0,1,21.0,Male,Caucasian,F,0
26,0,3,0,0,1,1.0,Male,African-American,M,0
31,0,8,0,0,9,1.0,Female,African-American,F,1
29,0,3,0,0,0,1.0,Male,Caucasian,M,0
26,0,4,0,0,1,323.0,Male,Caucasian,M,0
21,0,8,0,0,0,1.0,Male,African-American,F,0
57,0,4,0,0,0,2.0,Female,Caucasian,M,1
28,0,9,1,0,6,1.0,Male,African-American,F,1
29,0,5,0,0,5,1.0,Male,African-American,F,1
33,0,6,0,0,5,1.0,Male,Caucasian,F,1
42,0,5,0,0,3,1.0,Male,Caucasian,F,1
29,0,10,0,1,11,1.0,Male,African-American,F,1
39,0,5,0,0,6,1.0,Male,Other,F,0
27,0,6,0,0,13,89.0,Male,Caucasian,F,1
30,0,8,0,0,2,36.0,Male,Caucasian,M,1
49,0,6,0,0,2,1.0,Female,Caucasian,F,0
34,0,1,0,0,0,0.0,Female,Other,M,0
31,0,8,0,0,4,0.0,Female,African-American,F,0
43,0,1,0,0,4,39.0,Male,African-American,F,0
42,0,2,0,0,1,1.0,Male,Caucasian,F,1
56,0,1,0,0,0,1.0,Female,Caucasian,M,0
33,0,5,0,0,1,1.0,Male,African-American,F,0
32,0,1,0,0,0,1.0,Male,Hispanic,M,0
35,0,5,0,0,1,4272.0,Male,African-American,M,0
51,0,1,0,0,8,1.0,Male,African-American,M,1
52,0,7,0,0,9,1.0,Male,Hispanic,F,1
52,0,4,0,0,15,0.0,Male,African-American,M,1
51,0,1,0,0,2,0.0,Male,Caucasian,M,1
23,0,2,0,0,0,1.0,Male,African-American,F,0
30,0,3,0,0,0,1.0,Male,Caucasian,F,0
36,0,2,0,0,4,13.0,Female,African-American,F,0
38,0,5,0,0,1,1.0,Male,Hispanic,M,0
37,0,3,0,0,2,13.0,Male,African-American,F,0
35,0,7,0,1,5,1.0,Female,African-American,F,1
21,0,5,0,0,0,1.0,Female,Caucasian,M,1
29,0,10,0,0,16,1.0,Male,African-American,F,1
24,0,7,0,0,1,0.0,Male,African-American,F,0
41,0,2,0,0,2,47.0,Male,Caucasian,M,0
53,0,5,0,0,8,13.0,Male,Caucasian,F,0
21,0,7,0,0,0,1.0,Male,African-American,F,1
38,0,10,0,0,14,1.0,Female,African-American,F,1
40,0,7,0,0,20,1.0,Male,African-American,F,0
44,0,2,0,0,3,1.0,Female,Caucasian,F,1
25,0,4,0,0,2,2.0,Female,Caucasian,M,1
28,0,5,0,0,4,1.0,Female,African-American,F,1
22,0,6,0,0,0,0.0,Male,African-American,M,1
44,2,9,0,0,19,17.0,Male,African-American,M,1
25,0,9,0,2,11,502.0,Male,African-American,F,1
37,0,7,0,0,10,1.0,Male,African-American,F,1
30,0,6,0,0,0,0.0,Male,African-American,F,0
36,0,4,0,1,3,0.0,Female,Caucasian,F,0
31,0,7,0,0,9,1.0,Male,African-American,F,0
23,0,6,0,1,3,4.0,Male,Caucasian,F,1
56,0,8,0,0,9,2644.0,Male,African-American,M,0
31,0,2,0,0,0,0.0,Male,Hispanic,M,0
30,0,10,0,0,5,0.0,Female,Caucasian,F,1
31,0,1,0,0,1,1.0,Male,African-American,M,0
33,0,9,0,0,0,1.0,Male,Caucasian,F,1
28,0,2,0,0,3,1.0,Male,African-American,F,0
45,0,6,0,0,8,1.0,Male,Hispanic,F,0
45,1,8,0,0,12,1.0,Male,African-American,M,1
24,0,7,0,0,0,1.0,Male,Caucasian,M,0
31,0,1,0,0,0,0.0,Male,Hispanic,M,0
53,0,1,0,0,0,1.0,Male,Caucasian,M,0
45,0,1,0,0,1,11.0,Female,Caucasian,M,0
51,0,8,0,0,17,2.0,Male,African-American,F,1
22,0,4,0,0,1,1.0,Male,Other,F,1
27,0,5,0,0,0,1.0,Male,African-American,F,0
23,0,4,0,0,0,1.0,Female,Other,M,0
20,1,7,0,0,1,77.0,Male,Caucasian,F,1
26,0,4,0,0,0,0.0,Male,African-American,F,1
32,0,4,0,0,5,1.0,Male,African-American,M,0
28,0,4,0,0,5,1.0,Male,African-American,F,1
25,0,5,0,0,2,1.0,Male,Hispanic,F,1
35,0,2,0,0,0,1.0,Male,Hispanic,M,0
33,0,3,0,0,4,1.0,Male,African-American,M,0
21,0,3,0,0,0,1.0,Male,Caucasian,F,1
48,0,2,0,0,0,1.0,Male,Caucasian,F,0
24,0,4,0,2,3,1.0,Male,Caucasian,F,1
53,0,3,0,0,2,1.0,Male,African-American,F,0
21,0,4,0,0,2,69.0,Female,Other,F,1
23,0,9,0,1,6,1.0,Male,African-American,F,1
51,0,3,0,0,4,11.0,Female,Caucasian,F,0
23,0,5,0,0,2,1.0,Male,Hispanic,F,0
32,0,2,0,0,0,1.0,Female,African-American,F,0
33,0,10,0,1,14,1.0,Male,African-American,F,1
21,0,9,0,0,1,1.0,Male,African-American,F,0
24,0,9,1,1,7,1.0,Male,African-American,M,0
30,0,9,0,0,0,1.0,Male,African-American,M,0
57,0,1,0,0,0,1.0,Male,Caucasian,M,0
38,0,7,0,0,2,0.0,Male,African-American,F,1
65,0,3,0,0,1,1.0,Male,Caucasian,F,1
58,0,2,0,0,12,216.0,Male,Caucasian,F,1
30,0,5,0,0,2,1.0,Male,African-American,F,1
36,0,3,0,0,5,795.0,Male,African-American,F,0
35,0,2,0,0,2,1.0,Male,African-American,M,0
21,0,3,0,0,0,1.0,Male,Other,F,1
